Color code,Room #,x pixel loc,y pixel loc
252,236,15,34
249,236A,15,34
246,235,15,34
243,234,15,34
240,233,15,34
237,238,15,34
234,239,15,34
231,241,15,34
228,240,15,34
225,241A,15,34
222,242,15,34
219,243,15,34
216,244,15,34
213,245,15,34
210,246,15,34
207,247,15,34
204,248,15,34
201,249,15,34
198,249A,15,34
195,250,15,34
192,251,15,34
189,254,15,34
186,253,15,34
183,252,15,34
180,255,15,34
177,256,15,34
174,257,15,34
171,258,15,34
168,259,15,34
165,260,15,34
162,261,15,34
159,262,15,34
156,263,15,34
153,264,15,34
150,226,15,34
147,228,15,34
144,230,15,34
141,265,15,34
138,2009,15,34
135,h236,15,34
132,h236A,15,34
129,h235,15,34
126,h234,15,34
123,h220,15,34
120,h233,15,34
117,h232,15,34
114,h231,15,34
111,h222,15,34
108,h202,15,34
105,h201,15,34
102,h264,15,34
99,h263,15,34 
96,h262,15,34
93,h261,15,34
90,h260,15,34
87,h256,15,34
